1,0.000188154,3.32E-05,4.01E-05
2,0.000181312,1.47E-05,2.93E-05
3,0.000182289,1.37E-05,2.83E-05
4,0.000180823,1.37E-05,2.79E-05
5,0.000182778,1.32E-05,2.74E-05
6,0.000183266,1.37E-05,2.54E-05
7,0.000181312,1.37E-05,2.59E-05
8,0.000192552,1.37E-05,2.59E-05
9,0.000183755,1.32E-05,2.54E-05
10,0.000180334,1.32E-05,2.49E-05
11,0.00018962,1.76E-05,2.98E-05
12,0.000181312,1.66E-05,2.88E-05
13,0.000183755,1.71E-05,2.93E-05
14,0.000182778,1.66E-05,2.88E-05
15,0.000184244,1.66E-05,2.88E-05
16,0.000182778,1.61E-05,2.83E-05
17,0.0001818,1.66E-05,2.83E-05
18,0.0001818,2.98E-05,2.88E-05
19,0.000182778,1.71E-05,2.93E-05
20,0.000182778,1.71E-05,2.88E-05
21,0.000183755,1.86E-05,3.32E-05
22,0.000184733,1.76E-05,3.18E-05
23,0.000194507,1.81E-05,3.18E-05
24,0.000187665,3.13E-05,3.18E-05
25,0.000182778,1.86E-05,3.27E-05
26,0.000184733,1.81E-05,3.23E-05
27,0.000182778,2.10E-05,3.23E-05
28,0.000185221,1.86E-05,3.37E-05
29,0.000183266,1.81E-05,3.27E-05
30,0.000186199,0.000129997,3.27E-05
31,0.0001818,2.00E-05,3.76E-05
32,0.000184244,1.91E-05,3.71E-05
33,0.000186199,1.91E-05,3.67E-05
34,0.000180823,1.91E-05,3.62E-05
35,0.000197928,1.86E-05,3.62E-05
36,0.00018571,1.91E-05,3.67E-05
37,0.000183266,1.91E-05,3.62E-05
38,0.000187665,1.86E-05,3.76E-05
39,0.000182289,2.59E-05,3.57E-05
40,0.00018571,1.91E-05,3.71E-05
41,0.000542957,2.10E-05,4.20E-05
42,0.000549799,1.95E-05,4.15E-05
43,0.000544424,1.95E-05,4.01E-05
44,0.00054589,2.00E-05,4.11E-05
45,0.000547356,1.95E-05,4.06E-05
46,0.000548333,1.95E-05,4.30E-05
47,0.00054198,2.00E-05,4.06E-05
48,0.000545401,2.00E-05,4.06E-05
49,0.000543935,2.00E-05,4.01E-05
50,0.00054589,1.95E-05,4.01E-05
51,0.000621151,2.39E-05,6.45E-05
52,0.00054589,2.39E-05,4.55E-05
53,0.000546867,2.35E-05,4.50E-05
54,0.000552243,2.35E-05,4.55E-05
55,0.000546378,2.39E-05,4.59E-05
56,0.000540025,2.39E-05,4.55E-05
57,0.000557619,2.39E-05,4.45E-05
58,0.000547845,2.35E-05,4.50E-05
59,0.00054589,2.39E-05,4.45E-05
60,0.000580588,2.44E-05,4.55E-05
61,0.000559574,2.54E-05,5.18E-05
62,0.00055322,2.44E-05,5.03E-05
63,0.00056104,2.44E-05,4.84E-05
64,0.000548333,2.44E-05,4.89E-05
65,0.00054589,2.49E-05,4.94E-05
66,0.00054589,2.49E-05,4.94E-05
67,0.00054589,2.44E-05,4.89E-05
68,0.000557619,2.49E-05,4.94E-05
69,0.000549799,2.44E-05,4.98E-05
70,0.00054589,2.44E-05,4.89E-05
71,0.000547356,2.54E-05,5.42E-05
72,0.000544424,2.49E-05,5.33E-05
73,0.000569348,2.49E-05,5.33E-05
74,0.000546378,2.54E-05,5.33E-05
75,0.000546378,2.49E-05,5.28E-05
76,0.000552243,2.49E-05,5.38E-05
77,0.000545401,2.49E-05,5.38E-05
78,0.000569836,2.49E-05,5.33E-05
79,0.000548333,2.49E-05,5.28E-05
80,0.000546867,2.49E-05,5.42E-05
81,0.000548333,2.64E-05,5.82E-05
82,0.000580588,3.91E-05,6.26E-05
83,0.000543446,2.64E-05,5.91E-05
84,0.000559085,2.64E-05,5.72E-05
85,0.000550777,2.59E-05,6.60E-05
86,0.000583032,2.59E-05,6.21E-05
87,0.000548333,2.59E-05,6.01E-05
88,0.000551265,2.59E-05,5.91E-05
89,0.000571303,2.59E-05,6.01E-05
90,0.000571791,2.54E-05,5.72E-05
91,0.000567393,2.69E-05,7.82E-05
92,0.000579611,2.69E-05,6.35E-05
93,0.000571303,2.74E-05,6.45E-05
94,0.000555175,2.74E-05,6.16E-05
95,0.000549799,2.64E-05,6.11E-05
96,0.00055322,2.69E-05,6.21E-05
97,0.000551754,2.69E-05,6.26E-05
98,0.000552243,2.64E-05,6.06E-05
99,0.000557619,2.74E-05,6.11E-05
100,0.000590362,2.69E-05,6.26E-05
101,0.001628872,3.18E-05,6.65E-05
102,0.001616654,3.23E-05,6.70E-05
103,0.001618121,3.13E-05,6.70E-05
104,0.001916723,3.13E-05,6.84E-05
105,0.001669435,3.18E-05,6.60E-05
106,0.001639624,3.18E-05,6.70E-05
107,0.001656729,3.18E-05,6.65E-05
108,0.001665037,3.18E-05,6.74E-05
109,0.00162985,3.13E-05,6.60E-05
110,0.001617632,3.18E-05,6.60E-05
111,0.001645977,3.23E-05,9.33E-05
112,0.001675788,3.27E-05,8.94E-05
113,0.001639135,3.23E-05,7.62E-05
114,0.001630338,3.27E-05,7.58E-05
115,0.001631316,3.18E-05,7.58E-05
116,0.001627406,4.40E-05,7.33E-05
117,0.001639135,3.23E-05,7.14E-05
118,0.001658684,3.23E-05,7.18E-05
119,0.001626917,3.23E-05,7.04E-05
120,0.001639135,3.23E-05,7.09E-05
121,0.001633271,3.42E-05,7.67E-05
122,0.001620075,3.37E-05,7.72E-05
123,0.001621053,3.42E-05,7.77E-05
124,0.001625451,3.42E-05,9.14E-05
125,0.00165624,3.42E-05,7.77E-05
126,0.001633271,3.37E-05,7.72E-05
127,0.001637669,3.37E-05,7.72E-05
